image_url,error,extra
Coloso - Colisión - RNA - es - NM - 20251205_235347.jpg,Nombre de archivo no cumple el patrón esperado,
Explosión - Expansión - GRN - es - NM - 20251205_235355.jpg,Nombre de archivo no cumple el patrón esperado,
Gólem pedrerama - BRO - es - NM - 20251205_155013.jpg,No se pudo mapear en Scryfall,Gólem pedrerama
Répllica de elfo - - es - NM - 20251205_153622.jpg,No se pudo mapear en Scryfall,Répllica de elfo
Répllica de elfo - - es - NM - 20251205_153626.jpg,No se pudo mapear en Scryfall,Répllica de elfo
Répllica de hechicero - - es - NM - 20251205_153659.jpg,No se pudo mapear en Scryfall,Répllica de hechicero
Répllica de nim - - es - NM - 20251205_153739.jpg,No se pudo mapear en Scryfall,Répllica de nim
Répllica de nim - - es - NM - 20251205_153841.jpg,No se pudo mapear en Scryfall,Répllica de nim
Répllica de trasgo - - es - NM - 20251205_153454.jpg,No se pudo mapear en Scryfall,Répllica de trasgo
Répllica de trasgo - - es - NM - 20251205_153456.jpg,No se pudo mapear en Scryfall,Répllica de trasgo
Répllica de trasgo - - es - NM - 20251205_153459.jpg,No se pudo mapear en Scryfall,Répllica de trasgo
Répllica de trasgo - - es - NM - 20251205_153502.jpg,No se pudo mapear en Scryfall,Répllica de trasgo
